date,split,model,factor_return
1996-10-01,test,EN,0.0156849558704741
1996-11-01,test,EN,0.0053863272188535
1996-12-01,test,EN,0.0140316358080955
1997-01-01,test,EN,0.0181293124332854
1997-02-01,test,EN,0.0187745321656209
1997-03-01,test,EN,0.0177575953218824
1997-04-01,test,EN,0.0125383367865942
1997-05-01,test,EN,0.0095996904395593
1997-06-01,test,EN,0.0105719949230917
1997-07-01,test,EN,-0.0002869891696928
1997-08-01,test,EN,-0.0022286319737905
1997-09-01,test,EN,0.0077951138681613
1997-10-01,test,EN,0.0106666467491848
1997-11-01,test,EN,0.0140940011208236
1997-12-01,test,EN,0.0130001350809566
1998-01-01,test,EN,0.0160034077291824
1998-02-01,test,EN,0.0127867947270522
1998-03-01,test,EN,0.007452417048488
1998-04-01,test,EN,0.0020046737450521
1998-05-01,test,EN,0.0167472756525437
1998-06-01,test,EN,0.0091390253647331
1998-07-01,test,EN,0.0068734071945224
1998-08-01,test,EN,0.023889189423272
1998-09-01,test,EN,0.0283161453560001
1998-10-01,test,EN,0.0129179942070769
1998-11-01,test,EN,0.0148596984919434
1998-12-01,test,EN,0.008768612203006
1999-01-01,test,EN,0.0068320080981928
1999-02-01,test,EN,0.0155387884848784
1999-03-01,test,EN,-0.003533834470671
1999-04-01,test,EN,-0.0182477845281551
1999-05-01,test,EN,0.0071352053570286
1999-06-01,test,EN,0.0072157823733054
1999-07-01,test,EN,0.0127595564627641
1999-08-01,test,EN,0.0041599038882057
1999-09-01,test,EN,0.0034583253299695
1999-10-01,test,EN,0.0278519818224695
1999-11-01,test,EN,0.0061269854363121
1999-12-01,test,EN,-0.0222898102514362
2000-01-01,test,EN,0.0026998421567578
2000-02-01,test,EN,-0.0749393421732933
2000-03-01,test,EN,0.044946928116754
2000-04-01,test,EN,0.0023427690287911
2000-05-01,test,EN,-0.0167292460710396
2000-06-01,test,EN,0.0445691103114911
2000-07-01,test,EN,0.0284485875212748
2000-08-01,test,EN,0.019374172907802
2000-09-01,test,EN,0.0177903796390229
2000-10-01,test,EN,0.0137922842157954
2000-11-01,test,EN,-0.0025630057943496
2000-12-01,test,EN,-0.0019158195071123
2001-01-01,test,EN,0.0556380842424203
2001-02-01,test,EN,0.0488955628905071
2001-03-01,test,EN,-0.0014116746127175
2001-04-01,test,EN,0.0192521093620466
2001-05-01,test,EN,0.0081390047122527
2001-06-01,test,EN,0.002204393407664
2001-07-01,test,EN,0.0205616359524899
2001-08-01,test,EN,0.0096635168601888
2001-09-01,test,EN,0.0238214322622358
2001-10-01,test,EN,0.0192683815113788
2001-11-01,test,EN,-0.0077033426127124
2001-12-01,test,EN,-0.0023124140736729
2002-01-01,test,EN,0.0200750563037681
2002-02-01,test,EN,0.0177139652872919
2002-03-01,test,EN,0.0014042738648038
2002-04-01,test,EN,0.0150369072262834
2002-05-01,test,EN,0.0055708655210472
2002-06-01,test,EN,0.0209880301324066
2002-07-01,test,EN,0.0336821028166949
2002-08-01,test,EN,0.018184608296355
2002-09-01,test,EN,0.0226937165387067
2002-10-01,test,EN,0.0204168064459564
2002-11-01,test,EN,-0.0530402057626919
2002-12-01,test,EN,0.0644576695309967
2003-01-01,test,EN,0.0100495220498547
2003-02-01,test,EN,0.0007354535967265
2003-03-01,test,EN,0.0002022582111544
2003-04-01,test,EN,-0.0197163221003806
2003-05-01,test,EN,-0.0356263354323775
2003-06-01,test,EN,-0.0093230113868799
2003-07-01,test,EN,-0.0111371038541666
2003-08-01,test,EN,-0.005718486819803
2003-09-01,test,EN,0.0123477987370239
2003-10-01,test,EN,-0.008404413063467
2003-11-01,test,EN,-0.0076649721679716
2003-12-01,test,EN,0.0015524545018574
2004-01-01,test,EN,0.0165989379388674
2004-02-01,test,EN,0.0039726008236245
2004-03-01,test,EN,0.0038351344792295
2004-04-01,test,EN,-0.0054462573412634
2004-05-01,test,EN,0.008419299069441
2004-06-01,test,EN,0.006645586592706
2004-07-01,test,EN,0.0027729142603756
2004-08-01,test,EN,0.0081157512654495
2004-09-01,test,EN,0.0139582738605567
2004-10-01,test,EN,0.0057386291505648
2004-11-01,test,EN,0.0016318960145346
2004-12-01,test,EN,-0.0036997487870381
2005-01-01,test,EN,0.0223899856653614
2005-02-01,test,EN,-0.0028384314712614
2005-03-01,test,EN,0.0044823708812288
2005-04-01,test,EN,0.0078033476717123
2005-05-01,test,EN,0.0091800539399218
2005-06-01,test,EN,0.0048950393785044
2005-07-01,test,EN,-0.0007015916634358
2005-08-01,test,EN,0.0064141382147892
2005-09-01,test,EN,-0.0019019930347381
2005-10-01,test,EN,0.0072234233893177
2005-11-01,test,EN,0.0073057952835952
2005-12-01,test,EN,-6.220177594603203e-05
2006-01-01,test,EN,-0.0048103257698584
2006-02-01,test,EN,0.008956987436139
2006-03-01,test,EN,-0.003177646265228
2006-04-01,test,EN,-0.0010348405160797
2006-05-01,test,EN,0.0033708556733581
2006-06-01,test,EN,0.0037334670040094
2006-07-01,test,EN,0.0115324526870741
2006-08-01,test,EN,0.0145341558910333
2006-09-01,test,EN,0.0064763844987615
2006-10-01,test,EN,0.0027061739479461
2006-11-01,test,EN,-0.0023834620937066
2006-12-01,test,EN,0.0104736141597094
2007-01-01,test,EN,0.0006286293908613
2007-02-01,test,EN,0.0045801525634191
2007-03-01,test,EN,0.0058386176197325
2007-04-01,test,EN,0.0033230678126456
2007-05-01,test,EN,0.0026408631236658
2007-06-01,test,EN,-0.0004839668241853
2007-07-01,test,EN,-0.0064734049869378
2007-08-01,test,EN,0.0044844223583821
2007-09-01,test,EN,0.0024479364948071
2007-10-01,test,EN,-0.0025295271255548
2007-11-01,test,EN,0.0078385453299193
2007-12-01,test,EN,0.0085306551746746
2008-01-01,test,EN,0.0136418830040071
2008-02-01,test,EN,0.0229560316042393
2008-03-01,test,EN,0.0095597230063309
2008-04-01,test,EN,0.0148839776504392
2008-05-01,test,EN,-0.0062541518531546
2008-06-01,test,EN,-0.007798458464806
2008-07-01,test,EN,0.0284531018527178
2008-08-01,test,EN,0.0006252205398432
2008-09-01,test,EN,0.005010785823628
2008-10-01,test,EN,0.0193501831501622
2008-11-01,test,EN,0.0158790762876978
2008-12-01,test,EN,0.0379287187449143
2009-01-01,test,EN,0.0135706716474923
2009-02-01,test,EN,0.0022323665710783
2009-03-01,test,EN,-0.0035453951257793
2009-04-01,test,EN,-0.088451311537743
2009-05-01,test,EN,-0.0243319035863821
2009-06-01,test,EN,0.0028865008831351
2009-07-01,test,EN,0.0019192799195994
2009-08-01,test,EN,-0.0257277303545564
2009-09-01,test,EN,-0.0163201168970233
2009-10-01,test,EN,0.014704725445883
2009-11-01,test,EN,0.0015252642490317
2009-12-01,test,EN,-0.0015138439524578
2010-01-01,test,EN,0.0020795399489659
2010-02-01,test,EN,0.0060106796822736
2010-03-01,test,EN,0.0039532413553323
2010-04-01,test,EN,-0.0170057081045975
2010-05-01,test,EN,0.0029834238637989
2010-06-01,test,EN,0.0018780730235353
2010-07-01,test,EN,0.014236419896525
2010-08-01,test,EN,0.0071416292759117
2010-09-01,test,EN,0.0156713837617791
2010-10-01,test,EN,-0.0023836363620182
2010-11-01,test,EN,0.0012516313974067
2010-12-01,test,EN,-0.0081565819753108
2011-01-01,test,EN,-0.0029287664682457
2011-02-01,test,EN,-0.0005677680473776
2011-03-01,test,EN,0.0033958759913139
2011-04-01,test,EN,0.0029220323301204
2011-05-01,test,EN,0.0043699746543996
2011-06-01,test,EN,0.0030337436341255
2011-07-01,test,EN,0.0012143509548777
2011-08-01,test,EN,0.0177248816380916
2011-09-01,test,EN,0.0036921591025983
2011-10-01,test,EN,0.0428786752112927
2011-11-01,test,EN,0.0098628383626561
2011-12-01,test,EN,0.0059072342161999
2012-01-01,test,EN,0.0037021284767227
2012-02-01,test,EN,-0.002434614391838
2012-03-01,test,EN,0.0060659476360604
2012-04-01,test,EN,0.0054359821389277
2012-05-01,test,EN,0.0090255162683451
2012-06-01,test,EN,-0.0011111795538621
2012-07-01,test,EN,0.0116913676108711
2012-08-01,test,EN,0.0007032906410188
2012-09-01,test,EN,-0.0007897430662099
2012-10-01,test,EN,0.0141031098438139
2012-11-01,test,EN,0.0051760277803179
2012-12-01,test,EN,-0.0065194057594249
2013-01-01,test,EN,0.0019456214980229
2013-02-01,test,EN,0.0052836800984441
2013-03-01,test,EN,-0.0034228039165146
2013-04-01,test,EN,0.001522497529217
2013-05-01,test,EN,-0.0036117640740391
2013-06-01,test,EN,-0.0014616586254725
2013-07-01,test,EN,0.004824953365122
2013-08-01,test,EN,0.0021226820661889
