,count,mean,std,min,25%,50%,75%,max
cf,600.0,-6.64037316666653e-05,0.003370076416697618,-0.034007397,0.0,0.0,0.0,0.031960083
cf2p,600.0,-0.0008613742601964578,0.05781300860711544,-0.3891023278959724,0.0,0.0,0.0,0.6516164355664442
cto,600.0,-0.0016541483961738936,0.01855421167062412,-0.213674102190818,0.0,0.0,0.0,0.0950509957351115
d2a,600.0,-0.0002813663200985762,0.014215364953040155,-0.1449980283978393,0.0,0.0,0.0,0.1238296322396408
d2p,600.0,-1.1419481666665666e-05,0.00020119345671279785,-0.002159583,0.0,0.0,0.0,0.00277262
dpi2a,600.0,-0.0032634979792643655,0.11076071288522532,-1.2186570114641722,0.0,0.0,0.0,1.051142614055152
e2p,600.0,-0.001300876492817185,0.07190643748798646,-0.5646653931167975,0.0,0.0,0.0,0.664163682772887
fc2y,600.0,0.0011206829844195255,0.0091501431741822,-0.0616238125854768,0.0,0.0,0.0,0.0747545914499805
idiovol,600.0,-0.0018830830451174623,0.19740553997153806,-0.7495473766125409,-0.12017360398638605,-0.01484024486707895,0.0939355390530738,1.1890546324330238
investment,600.0,-0.0025501730303422784,0.20135643247312315,-2.669194628504255,0.0,0.0,0.0,1.449124816297024
lev,600.0,-0.0006605909712325929,0.022638571161741426,-0.3657356278249544,0.0,0.0,0.0,0.1405329301791673
lme,600.0,8.416657775076838e-05,0.09140763874820429,-0.8116721687097823,-0.0459203549407207,-0.00610900857363455,0.04322710777065782,0.7548240242711644
lt_rev,600.0,0.00011051488166666373,0.09318078059549123,-0.60691293,-0.04969752075,0.00031690500000000003,0.04887019399999992,0.3974808769999999
lturnover,600.0,0.003936219693063804,0.1770085768067927,-0.5892565174907096,-0.11143657628814435,0.0018158910064206,0.11755659057434714,0.5936414375244317
mktbeta,600.0,0.9980346629583334,0.1717225298943736,0.6927203890000001,0.845672238,1.0085003215000001,1.102618007,1.344120324
ni,600.0,0.006147357089999984,0.004142592296331694,0.0,0.003288395,0.005388049,0.008827917,0.018032044
noa,600.0,-0.0005048550275797031,0.01656549798943421,-0.1829403842595945,0.0,0.0,0.0,0.2435652428929288
oa,600.0,-3.476033000000001e-05,0.002013538262057345,-0.018167808,0.0,0.0,0.0,0.018031178
ol,600.0,-0.0013605629771870095,0.013099639352490814,-0.1439801268543423,0.0,0.0,0.0,0.1004511496720368
op,600.0,-0.0009380041382371957,0.019752037241778538,-0.1668897628872363,0.0,0.0,0.0,0.1767758705094599
pcm,600.0,0.00047075526774554676,0.007020704420806724,-0.0707402623691239,0.0,0.0,0.0,0.0711834551360538
pm,600.0,-0.00035483883758214986,0.031587463584730975,-0.2553094656804147,0.0,0.0,0.0,0.3514071468443367
prof,600.0,-0.0006135828806897532,0.01193794475251718,-0.1181526104397109,0.0,0.0,0.0,0.0883041280219601
q,600.0,-0.0002976374727233876,0.030802496224177724,-0.290347719838043,0.0,0.0,0.0,0.2077957849599884
r2_1,600.0,-2.905666666666635e-05,0.057194322694354004,-0.258481,-0.031489,-0.00498025,0.029760249999999898,0.322084
r12_2,600.0,0.00023324230333333343,0.07150381445506343,-0.3258520669999999,-0.039188380749999974,-0.0019448945000000001,0.03734121624999993,0.302440823
r12_7,600.0,8.505436666667773e-06,0.06844848992264803,-0.339926825,-0.03539469825,-0.0030338509999999,0.031482778499999975,0.290212232
r36_13,600.0,-0.000545980091666668,0.0779706796763666,-0.3868334859999999,-0.03971973625,0.0010692439999999,0.03957886274999992,0.313777979
rel2high,600.0,0.00043242665470553823,0.05390266093827265,-0.3470756942953008,-0.02581349393221635,0.00136534125453815,0.029195623454496725,0.2590167826946592
resid_var,600.0,-0.001122236641244277,0.12766891534835192,-0.3639262836573316,-0.07387654009219057,-0.0099310029405472,0.06123677107960085,0.8612876379629801
rna,600.0,-0.0008125393907429075,0.04440327317693281,-0.4128036316476859,0.0,0.0,0.0,0.4144270858331165
roa,600.0,-0.0028190561834823937,0.08629331881913925,-1.1486005714117071,0.0,0.0,0.0,1.0268188129190312
roe,600.0,-0.0012072088151098132,0.05974155384263688,-0.7188042141334043,0.0,0.0,0.0,0.6709231054068145
s2p,600.0,-0.0012372439232840322,0.07535267634761358,-0.4738955068478332,0.0,0.0,0.0,0.738768953436177
sga2s,600.0,0.0009689405909079542,0.008201119247840024,-0.0640950189145148,0.0,0.0,0.0,0.0713496112248612
spread,600.0,0.00039260502612689457,0.11330429337002357,-0.3974763457271657,-0.0557797015387948,-0.006022058288472,0.0385918142480836,0.7385184416846511
st_rev,600.0,2.9810000000000184e-05,0.05723745524051171,-0.258481,-0.031489,-0.00498025,0.029931374999999927,0.322084
suv,600.0,-0.02099821711,0.1537513964636029,-0.4389018429999999,-0.11586578675,-0.032517155500000006,0.0453529045,0.819347149
variance,600.0,-0.0008544544382317628,0.17423521181722212,-0.6563884152220449,-0.08701471988156648,-0.0108251593453596,0.06700851694784671,1.391634129504661
dp,600.0,-0.0009124874116666592,0.04432074010735907,-0.1501160529999996,-0.03064980474999995,-0.0028372195000003,0.02511284625000025,0.2511851169999999
ep,600.0,-0.0008162281716666635,0.06611394791387028,-0.5360710700000002,-0.030886611499999973,-0.00211088850000025,0.027618546250000025,0.7238150599999997
b/m,600.0,-0.0010593171785388152,0.06087134193411199,-0.3971359227761666,-0.0320365836466616,-0.0034922380188954,0.021130530178895525,0.5989068715104626
ntis,600.0,-7.485246333333316e-05,0.004008511966190011,-0.025728294,-0.0019009259999999998,-1.8899500000001644e-05,0.00188215725,0.029782628
tbl,600.0,-8.11666666666672e-05,0.00458132180577128,-0.0462,-0.001124999999999975,0.0,0.001299999999999925,0.0261
tms,600.0,0.019555633166666666,0.014960363778602784,-0.0365,0.008875000000000001,0.021,0.0313,0.0455
dfy,600.0,1.1666666666696668e-06,0.0012073434069861018,-0.0063,-0.0005,-9.99999999999994e-05,0.0004,0.0094
svar,600.0,0.00033423396857893637,0.6900493233608765,-2.9751318143984857,-0.4456163131101402,-0.0151644099105454,0.4141519755035552,3.3317810047440677
