feature,train_mean_raw,train_std_raw,train_mean_standardized,train_std_standardized,full_standardized_min,full_standardized_max
cusr0000sad,1.6118472297617833e-18,0.0034603084083668113,-6.47630097698008e-18,1.0,-4.215466849070038,3.4944994312619015
cusr0000sas,-1.897691293322936e-05,0.0034819053399606083,6.47630097698008e-18,1.0,-6.953283814386313,4.139651933269931
cpiulfsl,-5.153777335383906e-06,0.0027649893742226427,-4.625929269271485e-18,1.0,-4.922119425071086,4.52635602694856
cusr0000sa0l2,1.1547351501597289e-05,0.0033475661935007573,1.2027416100105863e-17,1.0,-6.3226350756282095,5.784719552143077
cusr0000sa0l5,7.631259764450051e-06,0.0030215463852266374,7.401486830834377e-18,0.9999999999999999,-4.431593661272218,5.138410247020382
pcepi,1.2843340779729969e-06,0.0018308642060914486,1.4802973661668754e-17,1.0,-4.39421388048346,4.276027161837305
ddurrg3m086sbea,7.940722868010308e-06,0.00291321297853995,1.3877787807814457e-17,0.9999999999999999,-3.422235630730419,4.603131136190596
dndgrg3m086sbea,2.1145325268532424e-06,0.004252954966501407,-3.515706244646329e-17,0.9999999999999999,-8.78620658327817,6.505865270718683
dserrg3m086sbea,-2.7414664757317644e-06,0.0017457320582658965,1.6653345369377347e-17,1.0,-5.376205803136975,9.176254763835638
ces0600000008,-2.7838070338597587e-06,0.004875771140737513,-5.551115123125783e-18,1.0,-6.051641620096976,3.9594374154957
ces2000000008,7.014909827225184e-06,0.009520200859720785,5.551115123125783e-18,1.0,-5.704966224128126,3.3893869497738347
ces3000000008,-7.0994953961100366e-06,0.00551567788079671,-7.401486830834377e-18,1.0,-4.869831345510018,3.610471728008219
mzmsl,3.5745696175097595e-05,0.007453525006233954,1.1102230246251566e-17,0.9999999999999999,-4.632258249162432,7.990628584071494
dtcolnvhfnm,-0.00011095725496146136,0.022303656309549922,1.6653345369377347e-17,1.0,-7.881788196238818,8.403053871978585
dtcthfnm,-6.471876159164146e-05,0.014147741012210753,1.6653345369377347e-17,1.0,-18.341979441999904,18.24424627019412
invest,-1.3903756664506317e-05,0.01057496129793661,3.700743415417188e-17,1.0,-7.639375776475778,4.671631769039476
vxoclsx,18.680138333333336,4.745568299813756,-4.440892098500626e-16,1.0,-1.7968424000278296,10.213921411386908
a2me,0.0009611552182234033,0.07868881369015426,-1.4802973661668754e-17,1.0,-6.190869525452274,9.067339040948267
ac,-6.234461666666706e-05,0.004265435104292384,2.2204460492503132e-17,1.0,-6.883932275463492,6.797948839378018
at,0.0,0.03739432599698843,0.0,1.0,-7.221874293078687,7.221874293078687
ato,-0.0002964113481459826,0.022632020418537284,-1.8503717077085942e-18,0.9999999999999999,-6.395716686352669,6.037014063321626
beme,0.0005815529998539195,0.07342840021033431,0.0,1.0,-5.01360820687258,7.814638243184725
beta,1.0177688124708333,0.20961844171647154,2.3684757858670006e-16,1.0,-2.8397853957715857,2.9676217103577742
c,-0.0004916274029009073,0.03687771365761953,-3.3306690738754695e-17,1.0,-4.9465830334820975,8.13947576242321
