feature,train_mean,train_std,safe_train_std,zero_std_feature
usgood,0.00022428261502250736,0.005603227796952582,0.005603227796952582,False
ces1021000001,0.00047604666659905454,0.028223271699765407,0.028223271699765407,False
uscons,0.0016802075905519324,0.0105913098406987,0.0105913098406987,False
manemp,-0.00011965018869586775,0.005611489144259014,0.005611489144259014,False
dmanemp,-0.00012914692425086571,0.0075821689948943555,0.0075821689948943555,False
ndmanemp,-0.00010458256111385081,0.003773575087782676,0.003773575087782676,False
srvprd,0.0024300351432887594,0.0018574958694520269,0.0018574958694520269,False
ustpu,0.002068416077391638,0.0023720924662381654,0.0023720924662381654,False
uswtrade,0.001913832487729208,0.002522612767400764,0.002522612767400764,False
ustrade,0.0025669498837826766,0.00277945190271978,0.00277945190271978,False
usfire,0.003061379881448789,0.0015961166344691182,0.0015961166344691182,False
usgovt,0.001738857578677359,0.0026999510781340014,0.0026999510781340014,False
ces0600000007,39.807916666666664,0.4723829587550997,0.4723829587550997,False
awotman,-0.0016666666666666644,0.15967849643024015,0.15967849643024015,False
awhman,40.18750000000001,0.5503881206324621,0.5503881206324621,False
houst,7.35547515389952,0.25214228831213253,0.25214228831213253,False
houstne,5.264935679558241,0.3302804788410117,0.3302804788410117,False
houstmw,5.71110555271855,0.36201751835729734,0.36201751835729734,False
housts,6.530016254498698,0.2636454316250162,0.2636454316250162,False
houstw,5.884709793932998,0.3418961552180322,0.3418961552180322,False
permit,7.254672371602518,0.2777466565762519,0.2777466565762519,False
permitne,5.245020060899494,0.3504214881557012,0.3504214881557012,False
permitmw,5.591920688456354,0.3798457993247676,0.3798457993247676,False
permits,6.333955543467566,0.33289301076804606,0.33289301076804606,False
permitw,5.903244967623819,0.3397893542309328,0.3397893542309328,False
amdmnox,0.005808764490381871,0.03363354699824462,0.03363354699824462,False
amdmuox,0.0058309983624610295,0.010857885590944008,0.010857885590944008,False
businvx,0.006640833549065265,0.0067315939064920075,0.0067315939064920075,False
isratiox,-9.97465998686664e-19,0.020918935396932715,0.020918935396932715,False
m1sl,5.7623020940127664e-05,0.004936201452389215,0.004936201452389215,False
m2sl,7.50472743317669e-06,0.0027337591083264326,0.0027337591083264326,False
m2real,0.0021754777167895447,0.005345566278720955,0.005345566278720955,False
ambsl,3.4945182581558086e-05,0.004922552300647501,0.004922552300647501,False
totresns,0.00015534027662203736,0.031158218900372642,0.031158218900372642,False
nonborres,0.00014396270815218032,0.03573135615022509,0.03573135615022509,False
busloans,3.12522303184808e-05,0.0059724669819936635,0.0059724669819936635,False
realln,2.6780988412648984e-05,0.002655894783423605,0.002655894783423605,False
nonrevsl,-2.8662355918538783e-05,0.009016885717160663,0.009016885717160663,False
conspi,-9.561573333333335e-05,0.0010414290113785285,0.0010414290113785285,False
s&p_500,0.004613919167804862,0.03592656943270267,0.03592656943270267,False
s&p:_indust,0.004805122977231753,0.03637806624716311,0.03637806624716311,False
s&p_div_yield,-0.0007519636666666686,0.1618269126635861,0.1618269126635861,False
s&p_pe_ratio,0.00046623798003298406,0.039693043508456954,0.039693043508456954,False
fedfunds,0.001166666666666664,0.8409777873932752,0.8409777873932752,False
cp3mx,-0.0010000000000000091,0.8098018276096935,0.8098018276096935,False
tb3ms,0.0001249999999999918,0.6863875734901287,0.6863875734901287,False
tb6ms,-0.000541666666666668,0.6378055789950587,0.6378055789950587,False
